# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
-3.11   -1.50   0.34510     58.64177        -38.43314       96.21
-3.11   -1.50   0.34780     58.62882        -36.41118       96.21
-3.11   -1.50   0.35050     58.61658        -34.38866       96.21
-3.11   -1.50   0.35320     58.60504        -32.36550       96.85
-3.11   -1.50   0.35590     58.59424        -30.34166       97.16
-3.11   -1.50   0.35860     58.58415        -28.31703       97.48
-3.11   -1.50   0.36130     58.57478        -26.29158       97.48
-3.11   -1.50   0.36400     58.56612        -24.26520       97.79
-3.11   -1.50   0.36670     58.55819        -22.23781       97.79
-3.11   -1.50   0.36940     58.55098        -20.20934       97.79
-3.11   -1.50   0.37210     58.54450        -18.17971       97.79
-3.11   -1.50   0.37480     58.53874        -16.14885       97.79
-3.11   -1.50   0.37750     58.53369        -14.11669       98.11
-3.11   -1.50   0.38020     58.52937        -12.08313       98.11
-3.11   -1.50   0.38290     58.52577        -10.04810       97.79
-3.11   -1.50   0.38560     58.52290        -8.01151        97.79
-3.11   -1.50   0.38830     58.52076        -5.97329        98.11
-3.11   -1.50   0.39100     58.51934        -3.93336        98.11
-3.11   -1.50   0.39370     58.51865        -1.89164        98.74
-3.11   -1.50   0.39640     58.51868        0.15197     98.42
-3.11   -1.50   0.39910     58.51944        2.19752     98.42
-3.11   -1.50   0.40180     58.52093        4.24512     98.42
-3.11   -1.50   0.40450     58.52315        6.29484     98.42
-3.11   -1.50   0.40720     58.52610        8.34677     98.42
-3.11   -1.50   0.40990     58.52978        10.40098        98.42
-3.11   -1.50   0.41260     58.53419        12.45758        98.11
-3.11   -1.50   0.41530     58.53933        14.51662        98.11
-3.11   -1.50   0.41800     58.54521        16.57820        97.79
-3.11   -1.50   0.42070     58.55182        18.64242        97.79
-3.11   -1.50   0.42340     58.55915        20.70934        97.79
-3.11   -1.50   0.42610     58.56723        22.77906        97.79
-3.11   -1.50   0.42880     58.57604        24.85165        97.79
-3.11   -1.50   0.43150     58.58554        26.92721        97.48
-3.11   -1.50   0.43420     58.59580        29.00582        97.79
-3.11   -1.50   0.43690     58.60679        31.08757        97.79
-3.11   -1.50   0.43960     58.61852        33.17255        97.48
-3.11   -1.50   0.44230     58.63098        35.26084        97.48
-3.11   -1.50   0.44500     58.64420        37.35253        97.16
-3.11   -1.50   0.44770     58.65808        39.44769        97.16
-3.11   -1.50   0.45040     58.67273        41.54643        96.53
-3.11   -1.50   0.45310     58.68811        43.64882        96.21
-3.11   -1.50   0.45580     58.70423        45.75498        96.21
-3.11   -1.50   0.45850     58.72102        47.86493        96.21
-3.11   -1.50   0.46120     58.73857        49.97883        95.58
-3.11   -1.50   0.46390     58.75686        52.09672        95.27
-3.11   -1.50   0.46660     58.77583        54.21870        95.27
-3.11   -1.50   0.46930     58.79554        56.34486        95.27
-3.11   -1.50   0.47200     58.81598        58.47528        94.64
-3.11   -1.50   0.47470     58.83710        60.61005        94.32
-3.11   -1.50   0.47740     58.85895        62.74924        94.01
-3.11   -1.50   0.48010     58.88149        64.89295        93.69
-3.11   -1.50   0.48280     58.90474        67.04126        93.38
-3.11   -1.50   0.48550     58.92870        69.19424        92.74
-3.11   -1.50   0.48820     58.95332        71.35198        92.74
-3.11   -1.50   0.49090     58.97865        73.51456        92.43
-3.11   -1.50   0.49360     59.00464        75.68205        92.11
